id,age_group,age_num,sex,experiment,trial,condition,speaker,target_category,picked_category,correct
part_53_speaker_change,3,3.4162100456621003,M,speaker_change,3,same_speaker,Sheep,clothes,fruits,0
part_53_speaker_change,3,3.4162100456621003,M,speaker_change,4,different_speaker,Bear,mammals,vehicles,0
part_54_speaker_change,4,4.892922374429224,F,speaker_change,1,different_speaker,Tiger,mammals,fruits,0
part_54_speaker_change,4,4.892922374429224,F,speaker_change,2,same_speaker,Bear,fruits,fruits,1
part_54_speaker_change,4,4.892922374429224,F,speaker_change,3,different_speaker,Sheep,clothes,clothes,1
part_54_speaker_change,4,4.892922374429224,F,speaker_change,4,same_speaker,Elephant,vehicles,vehicles,1
part_55_speaker_change,3,2.999771689497717,F,speaker_change,1,same_speaker,Frog,clothes,clothes,1
part_55_speaker_change,3,2.999771689497717,F,speaker_change,2,same_speaker,Sheep,mammals,mammals,1
part_55_speaker_change,3,2.999771689497717,F,speaker_change,3,different_speaker,Tiger,fruits,fruits,1
part_55_speaker_change,3,2.999771689497717,F,speaker_change,4,different_speaker,Cat,vehicles,vehicles,1
part_56_speaker_change,4,4.320319634703196,F,speaker_change,1,different_speaker,Frog,clothes,vehicles,0
part_56_speaker_change,4,4.320319634703196,F,speaker_change,2,same_speaker,Bear,fruits,mammals,0
part_56_speaker_change,4,4.320319634703196,F,speaker_change,3,different_speaker,Mouse,vehicles,mammals,0
part_56_speaker_change,4,4.320319634703196,F,speaker_change,4,same_speaker,Elephant,mammals,mammals,1
part_57_speaker_change,4,4.002511415525114,F,speaker_change,1,same_speaker,Elephant,clothes,clothes,1
part_57_speaker_change,4,4.002511415525114,F,speaker_change,2,different_speaker,Frog,fruits,mammals,0
part_57_speaker_change,4,4.002511415525114,F,speaker_change,3,same_speaker,Mouse,vehicles,vehicles,1
part_57_speaker_change,4,4.002511415525114,F,speaker_change,4,different_speaker,Bear,mammals,clothes,0
part_58_speaker_change,3,3.6381278538812785,F,speaker_change,1,same_speaker,Frog,vehicles,vehicles,1
part_58_speaker_change,3,3.6381278538812785,F,speaker_change,2,same_speaker,Tiger,mammals,fruits,0
part_58_speaker_change,3,3.6381278538812785,F,speaker_change,3,different_speaker,Sheep,clothes,fruits,0
part_58_speaker_change,3,3.6381278538812785,F,speaker_change,4,different_speaker,Elephant,fruits,mammals,0
part_59_speaker_change,4,4.786073059360731,M,speaker_change,1,same_speaker,Mouse,clothes,clothes,1
part_59_speaker_change,4,4.786073059360731,M,speaker_change,2,different_speaker,Bear,mammals,fruits,0
part_59_speaker_change,4,4.786073059360731,M,speaker_change,3,same_speaker,Tiger,fruits,vehicles,0
part_59_speaker_change,4,4.786073059360731,M,speaker_change,4,different_speaker,Frog,vehicles,mammals,0
part_60_speaker_change,4,4.2162100456621,M,speaker_change,1,same_speaker,Frog,mammals,vehicles,0
part_60_speaker_change,4,4.2162100456621,M,speaker_change,2,different_speaker,Sheep,vehicles,vehicles,1
part_60_speaker_change,4,4.2162100456621,M,speaker_change,3,different_speaker,Bear,fruits,fruits,1
part_60_speaker_change,4,4.2162100456621,M,speaker_change,4,same_speaker,Tiger,clothes,clothes,1
